WARNING: src/modules/memory/instruction_memory.v:13: $readmemb(data/inst.mem): Not enough words in the file for the requested range [0:63].
                   0 ** Start Simulation **
                   0 Instruction Memory 
VCD info: dumpfile sim.vcd opened for output.
                   0 [PC] pc :          x
                3745 [PC] pc :         28
                3755 [PC] pc :         32
                3765 [PC] pc :         36
                3775 [PC] pc :         40
                3785 [PC] pc :         44
                3805 [PC] pc :         48
                3815 [PC] pc :         52
                3825 [PC] pc :        112
                3835 [PC] pc :        116
                3845 [PC] pc :        120
                3855 [PC] pc :        124
                3865 [PC] pc :        128
                3875 [PC] pc :        132
                3885 [PC] pc :        136
                3895 [PC] pc :        140
                3905 [PC] pc :          0
                3915 [PC] pc :          4
                3925 [PC] pc :          8
                3935 [PC] pc :         12
                3945 [PC] pc :        136
                3955 [PC] pc :        140
                3965 [PC] pc :        144
                3975 [PC] pc :        148
                3985 [PC] pc :        152
                3995 [PC] pc :        156
                4005 [PC] pc :        160
                4015 [PC] pc :        164
                4025 [PC] pc :        168
                4035 [PC] pc :        172
                4045 [PC] pc :          8
                4055 [PC] pc :         12
                4060 ** End Simulation **
                4060 REGISTER FILE
                4060 Reg[          0]:           0 (00000000000000000000000000000000)
                4060 Reg[          1]:           0 (00000000000000000000000000000000)
                4060 Reg[          2]:         128 (00000000000000000000000010000000)
                4060 Reg[          3]:           0 (00000000000000000000000000000000)
                4060 Reg[          4]:           0 (00000000000000000000000000000000)
                4060 Reg[          5]:           0 (00000000000000000000000000000000)
                4060 Reg[          6]:           0 (00000000000000000000000000000000)
                4060 Reg[          7]:           0 (00000000000000000000000000000000)
                4060 Reg[          8]:         160 (00000000000000000000000010100000)
                4060 Reg[          9]:           0 (00000000000000000000000000000000)
                4060 Reg[         10]:           0 (00000000000000000000000000000000)
                4060 Reg[         11]:           0 (00000000000000000000000000000000)
                4060 Reg[         12]:           0 (00000000000000000000000000000000)
                4060 Reg[         13]:           0 (00000000000000000000000000000000)
                4060 Reg[         14]:           0 (00000000000000000000000000000000)
                4060 Reg[         15]:           3 (00000000000000000000000000000011)
                4060 Reg[         16]:           0 (00000000000000000000000000000000)
                4060 Reg[         17]:           0 (00000000000000000000000000000000)
                4060 Reg[         18]:           0 (00000000000000000000000000000000)
                4060 Reg[         19]:           0 (00000000000000000000000000000000)
                4060 Reg[         20]:           0 (00000000000000000000000000000000)
                4060 Reg[         21]:           0 (00000000000000000000000000000000)
                4060 Reg[         22]:           0 (00000000000000000000000000000000)
                4060 Reg[         23]:           0 (00000000000000000000000000000000)
                4060 Reg[         24]:           0 (00000000000000000000000000000000)
                4060 Reg[         25]:           0 (00000000000000000000000000000000)
                4060 Reg[         26]:           0 (00000000000000000000000000000000)
                4060 Reg[         27]:           0 (00000000000000000000000000000000)
                4060 Reg[         28]:           0 (00000000000000000000000000000000)
                4060 Reg[         29]:           0 (00000000000000000000000000000000)
                4060 Reg[         30]:           0 (00000000000000000000000000000000)
                4060 Reg[         31]:           0 (00000000000000000000000000000000)
                4060 DATA MEMORY
                4060 Mem[          0]:           0 (00000000000000000000000000000000)
                4060 Mem[          1]:           0 (00000000000000000000000000000000)
                4060 Mem[          2]:           0 (00000000000000000000000000000000)
                4060 Mem[          3]:           0 (00000000000000000000000000000000)
                4060 Mem[          4]:           0 (00000000000000000000000000000000)
                4060 Mem[          5]:           0 (00000000000000000000000000000000)
                4060 Mem[          6]:           0 (00000000000000000000000000000000)
                4060 Mem[          7]:           0 (00000000000000000000000000000000)
                4060 Mem[          8]:           0 (00000000000000000000000000000000)
                4060 Mem[          9]:           0 (00000000000000000000000000000000)
                4060 Mem[         10]:           0 (00000000000000000000000000000000)
                4060 Mem[         11]:           0 (00000000000000000000000000000000)
                4060 Mem[         12]:           0 (00000000000000000000000000000000)
                4060 Mem[         13]:           0 (00000000000000000000000000000000)
                4060 Mem[         14]:           0 (00000000000000000000000000000000)
                4060 Mem[         15]:           0 (00000000000000000000000000000000)
                4060 Mem[         16]:           0 (00000000000000000000000000000000)
                4060 Mem[         17]:           0 (00000000000000000000000000000000)
                4060 Mem[         18]:           0 (00000000000000000000000000000000)
                4060 Mem[         19]:           0 (00000000000000000000000000000000)
                4060 Mem[         20]:           0 (00000000000000000000000000000000)
                4060 Mem[         21]:           0 (00000000000000000000000000000000)
                4060 Mem[         22]:           0 (00000000000000000000000000000000)
                4060 Mem[         23]:           0 (00000000000000000000000000000000)
                4060 Mem[         24]:           0 (00000000000000000000000000000000)
                4060 Mem[         25]:           0 (00000000000000000000000000000000)
                4060 Mem[         26]:           0 (00000000000000000000000000000000)
                4060 Mem[         27]:           0 (00000000000000000000000000000000)
                4060 Mem[         28]:           0 (00000000000000000000000000000000)
                4060 Mem[         29]:           0 (00000000000000000000000000000000)
                4060 Mem[         30]:           0 (00000000000000000000000000000000)
                4060 Mem[         31]:           0 (00000000000000000000000000000000)
                4060 Mem[         32]:           0 (00000000000000000000000000000000)
                4060 Mem[         33]:           0 (00000000000000000000000000000000)
                4060 Mem[         34]:           0 (00000000000000000000000000000000)
                4060 Mem[         35]:           0 (00000000000000000000000000000000)
                4060 Mem[         36]:           0 (00000000000000000000000000000000)
                4060 Mem[         37]:           0 (00000000000000000000000000000000)
                4060 Mem[         38]:         192 (00000000000000000000000011000000)
                4060 Mem[         39]:           0 (00000000000000000000000000000000)
                4060 Mem[         40]:           0 (00000000000000000000000000000000)
                4060 Mem[         41]:           0 (00000000000000000000000000000000)
